Compound ID,Description,Natureza_Final,Formula,InChIKey,IUPAC Name,SMILES,Information,Molecular_Uses,Info_Source,ChEMBL_Type,Natural_Product,Max_Clinical_Phase,Is_Human_Metabolite,HMDB_ID,In_FooDB,FooDB_ID,Score,Fragmentation Score,Isotope Similarity,Identifications
CSID16736561,Adozelesin,Sintético / Indefinido,C30H22N4O4,BYRVKDUQDLJUBX-JJCDCTGGSA-N,"N-[2-[(1R,12S)-3-methyl-7-oxo-5,10-diazatetracyclo[7.4.0.01,12.02,6]trideca-2(6),3,8-triene-10-carbonyl]-1H-indol-5-yl]-1-benzofuran-2-carboxamide",CC1=CNC2=C1[C@@]34C[C@@H]3CN(C4=CC2=O)C(=O)C5=CC6=C(N5)C=CC(=C6)NC(=O)C7=CC8=CC=CC=C8O7,Adozelesin is an indolecarboxamide.,NaN,ChEBI,Small molecule,No,2.0,No,NaN,No,NaN,37,0,85.6385831456806,11
CSID28288545,"(1R,2S,3R)-2-(2,4-Dihydroxyphenyl)-3-(3,5-dihydroxyphenyl)-1-[(R)-(4-hydroxyphenyl)(methoxy)methyl]-4,6-indanediol",Sintético / Indefinido,C29H26O8,,,,NaN,NaN,NaN,,,,No,NaN,No,NaN,36,0,84.0397502750505,11
CSID30778608,"8-Chloro-5-(β-L-glucopyranuronosyl)-11-(4-methyl-1-piperazinyl)-5H-dibenzo[b,e][1,4]diazepine",Sintético / Indefinido,C24H27ClN4O6,,,,NaN,NaN,NaN,,,,No,NaN,No,NaN,34.6,13.6,65.2582860225128,11
CSID317091,Adozelesin,Sintético / Indefinido,C30H22N4O4,BYRVKDUQDLJUBX-JJCDCTGGSA-N,"N-[2-[(1R,12S)-3-methyl-7-oxo-5,10-diazatetracyclo[7.4.0.01,12.02,6]trideca-2(6),3,8-triene-10-carbonyl]-1H-indol-5-yl]-1-benzofuran-2-carboxamide",CC1=CNC2=C1[C@@]34C[C@@H]3CN(C4=CC2=O)C(=O)C5=CC6=C(N5)C=CC(=C6)NC(=O)C7=CC8=CC=CC=C8O7,Adozelesin is an indolecarboxamide.,NaN,ChEBI,Small molecule,No,2.0,No,NaN,No,NaN,37,0,85.6385831456806,11
CSID5293205,Adozelesin,Sintético / Indefinido,C30H22N4O4,BYRVKDUQDLJUBX-JJCDCTGGSA-N,"N-[2-[(1R,12S)-3-methyl-7-oxo-5,10-diazatetracyclo[7.4.0.01,12.02,6]trideca-2(6),3,8-triene-10-carbonyl]-1H-indol-5-yl]-1-benzofuran-2-carboxamide",CC1=CNC2=C1[C@@]34C[C@@H]3CN(C4=CC2=O)C(=O)C5=CC6=C(N5)C=CC(=C6)NC(=O)C7=CC8=CC=CC=C8O7,Adozelesin is an indolecarboxamide.,NaN,ChEBI,Small molecule,No,2.0,No,NaN,No,NaN,37,0,85.6385831456806,11
CSID65323518,"5-[8-Fluoro-2-({[2-(1H-1,2,4-triazol-1-yl)ethyl]carbamoyl}amino)[1,2,4]triazolo[1,5-a]pyridin-6-yl]-N-(2-methyl-2-propanyl)-3-pyridinesulfonamide",Sintético / Indefinido,C20H23FN10O3S,,,,NaN,NaN,NaN,,,,No,NaN,No,NaN,35.2,0.00112,79.3869826549109,11
CSID67164811,"Sulfanediylbis(4,1-phenyleneoxy-2-hydroxy-3,1-propanediyl) bis(2-methylacrylate)",Sintético / Indefinido,C26H30O8S,,,,NaN,NaN,NaN,,,,No,NaN,No,NaN,35.2,0.00108,80.0103834513285,11
CSID8404385,"(2E)-4-{3-[(2E)-3-(2,4-Dihydroxyphenyl)-2-propenoyl]-2,6-dihydroxyphenyl}-2-methyl-2-buten-1-yl (2E)-3-(4-hydroxyphenyl)acrylate",Sintético / Indefinido,C29H26O8,,,,NaN,NaN,NaN,,,,No,NaN,No,NaN,36,0,84.0397502750505,11
LMPK12120122,Demethoxyisogemichalcone C,Produto Natural,C29H26O8,XXQUTHYOIGFGPG-MPKNGZDBSA-N,"[(E)-4-[3-[(E)-3-(2,4-dihydroxyphenyl)prop-2-enoyl]-2,6-dihydroxyphenyl]-2-methylbut-2-enyl] (E)-3-(4-hydroxyphenyl)prop-2-enoate",C/C(=C\CC1=C(C=CC(=C1O)C(=O)/C=C/C2=C(C=C(C=C2)O)O)O)/COC(=O)/C=C/C3=CC=C(C=C3)O,Demethoxyisogemichalcone C is a member of chalcones.,NaN,ChEBI,Small molecule,Yes,,No,NaN,No,NaN,36,0,84.0397502750505,11
1006187,"N-(2,5-difluorophenyl)-2-(4-methyl-6-oxo-2-pyrrolidin-1-ylpyrimidin-1-yl)acetamide",Sintético / Indefinido,C17H18F2N4O2,FTXPCASXVXOQIL-UHFFFAOYSA-N,"N-(2,5-difluorophenyl)-2-(4-methyl-6-oxo-2-pyrrolidin-1-ylpyrimidin-1-yl)acetamide",CC1=CC(=O)N(C(=N1)N2CCCC2)CC(=O)NC3=C(C=CC(=C3)F)F,NaN,NaN,NaN,,,,No,NaN,No,NaN,36.4,0,86.1881687253367,9
